system:index,AMOSTRAS,AMOSTRA_AM,BioNB,CARTA_2,CLASS_2022,DECLIVIDAD,LAT,LON,NEW_PROB,NEW_WEIGHT,PESO_VOT,PROB_AMOS2,StateNB,TARGETID,VAL_PESO,classification,reference,year,.geo
000000000000000050e4_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D2,-3.00073022,-42.1365047,1.0946847778015985E-5,55301.69792534376,4.689797080854935E-6,1.4069391242564806E-5,21.0,17301,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000510c_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D3,-3.6038591,-43.5747973,1.1349142731664706E-5,56646.228228228174,4.718182933388697E-6,1.4154548800166094E-5,21.0,17370,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005111_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D3,-3.36427842,-43.8704328,1.1349142731664706E-5,56646.228228228174,4.718182933388697E-6,1.4154548800166094E-5,21.0,17377,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005115_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D3,-3.73698943,-43.7893149,1.1349142731664706E-5,56646.228228228174,4.718182933388697E-6,1.4154548800166094E-5,21.0,17382,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005116_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D3,-3.17455423,-43.8981908,1.1349142731664706E-5,56646.228228228174,4.718182933388697E-6,1.4154548800166094E-5,21.0,16318,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000511a_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D3,-3.75181163,-43.6187249,1.1349142731664706E-5,56646.228228228174,4.718182933388697E-6,1.4154548800166094E-5,21.0,17387,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000511e_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D3,-3.92051524,-43.4820911,1.1349142731664706E-5,56646.228228228174,4.718182933388697E-6,1.4154548800166094E-5,21.0,17394,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000512e_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D3,-3.53406001,-42.6207864,1.1349142731664706E-5,56646.228228228174,4.718182933388697E-6,1.4154548800166094E-5,21.0,17416,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005131_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D3,-3.63673744,-44.0658164,1.1349142731664706E-5,56646.228228228174,4.718182933388697E-6,1.4154548800166094E-5,21.0,17421,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005135_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D3,-3.95312409,-44.0509942,1.1349142731664706E-5,56646.228228228174,4.718182933388697E-6,1.4154548800166094E-5,21.0,2020,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005138_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D3,-3.94342228,-43.686368,1.1349142731664706E-5,56646.228228228174,4.718182933388697E-6,1.4154548800166094E-5,21.0,16267,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005139_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D3,-3.33301704,-43.5656344,1.1349142731664706E-5,56646.228228228174,4.718182933388697E-6,1.4154548800166094E-5,21.0,17435,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000513d_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D3,-2.96084502,-42.594376,1.1349142731664706E-5,56646.228228228174,4.718182933388697E-6,1.4154548800166094E-5,21.0,17439,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005143_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D3,-3.75019466,-43.7222108,1.1349142731664706E-5,56646.228228228174,4.718182933388697E-6,1.4154548800166094E-5,21.0,17411,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000514a_0,,0,4,SA-23-Z,FORMAÇÃO FLORESTAL,D3,-3.88359448,-43.9679899,1.1349142731664706E-5,56646.228228228174,4.718182933388697E-6,1.4154548800166094E-5,21.0,2003,0.3333333333333333,3,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
